Virus,Country/Region,Total Cases,Total Recoveries,Total Deaths
COVID19,Bangladesh,20,3,1
COVID19,Cameroon,20,0,0
COVID19,Congo (Kinshasa),18,0,0
COVID19,Rwanda,17,0,0
COVID19,Ghana,16,0,0
COVID19,Cuba,16,0,1
COVID19,Jamaica,16,2,1
COVID19,Bolivia,15,0,0
COVID19,Montenegro,14,0,0
COVID19,Maldives,13,0,0
COVID19,Paraguay,13,0,0
COVID19,Mauritius,12,0,0
COVID19,Nigeria,12,1,0
COVID19,Guatemala,12,0,1
COVID19,Monaco,11,0,0
COVID19,Trinidad and Tobago,9,0,0
COVID19,Cote d'Ivoire,9,1,0
COVID19,Ethiopia,9,0,0
COVID19,Togo,9,1,0
COVID19,Seychelles,7,0,0
COVID19,Kenya,7,0,0
COVID19,Guyana,7,0,1
COVID19,Kyrgyzstan,6,0,0
COVID19,Equatorial Guinea,6,0,0
COVID19,Tanzania,6,0,0
COVID19,Mongolia,6,0,0
COVID19,Barbados,5,0,0
COVID19,Suriname,4,0,0
COVID19,Central African Republic,3,0,0
COVID19,Gabon,3,0,1
COVID19,"Bahamas, The",3,0,0
COVID19,Congo (Brazzaville),3,0,0
COVID19,Namibia,3,0,0
COVID19,Madagascar,3,0,0
COVID19,Benin,2,0,0
COVID19,Zambia,2,0,0
COVID19,Saint Lucia,2,0,0
COVID19,Sudan,2,0,1
COVID19,Liberia,2,0,0
COVID19,Mauritania,2,0,0
COVID19,Haiti,2,0,0
COVID19,Kosovo,2,0,0
COVID19,Bhutan,2,0,0
COVID19,Antigua and Barbuda,1,0,0
COVID19,Cabo Verde,1,0,0
COVID19,Djibouti,1,0,0
COVID19,Chad,1,0,0
COVID19,Angola,1,0,0
COVID19,Papua New Guinea,1,0,0
COVID19,El Salvador,1,0,0
COVID19,Eswatini,1,0,0
COVID19,Fiji,1,0,0
COVID19,Niger,1,0,0
COVID19,"Gambia, The",1,0,0
COVID19,Guinea,1,0,0
COVID19,Somalia,1,0,0
COVID19,Holy See,1,0,0
COVID19,Saint Vincent and the Grenadines,1,0,0
COVID19,Nepal,1,1,0
COVID19,Nicaragua,1,0,0
COVID19,Zimbabwe,1,0,0
SARS,China,7754,6882,730
SARS,Canada,250,194,38
SARS,Singapore,206,172,32
SARS,US,75,67,0
SARS,Vietnam,63,58,5
SARS,Philippines,14,12,2
SARS,Germany,10,9,0
SARS,Mongolia,9,9,0
SARS,Thailand,9,7,2
SARS,France,7,6,1
SARS,Australia,5,5,0
SARS,Malaysia,5,3,2
SARS,Italy,4,4,0
SARS,United Kingdom,4,4,0
SARS,India,3,3,0
SARS,"Korea, South",3,3,0
SARS,Sweden,3,3,0
SARS,Indonesia,2,2,0
SARS,Belgium,1,0,0
SARS,New Zealand,1,1,0
SARS,Finland,1,1,0
SARS,Poland,1,0,0
SARS,Ireland,1,1,0
SARS,Russia,1,0,0
SARS,Colombia,1,1,0
SARS,Slovenia,1,0,0
SARS,South Africa,1,0,1
SARS,Spain,1,1,0
SARS,Kuwait,1,1,0
SARS,Switzerland,1,1,0
SARS,Bulgaria,1,0,0
SARS,Brazil,1,1,0
SARS,Japan,1,0,0
SARS,Romania,1,1,0
