Key Location,Province/State,Country/Region,Lat,Long,Max of Confirmed,Max of Deaths,Max of Recovered,Death-Rate
", Equatorial Guinea",,Equatorial Guinea,1.5,10,6,0,0,0.00
", Estonia",,Estonia,58.5953,25.0136,283,0,1,0.00
", Eswatini",,Eswatini,-26.5225,31.4659,1,0,0,0.00
", Ethiopia",,Ethiopia,9.145,40.4897,9,0,0,0.00
", Fiji",,Fiji,-17.7134,178.065,1,0,0,0.00
", Finland",,Finland,64,26,450,0,10,0.00
", Gabon",,Gabon,-0.8037,11.6094,3,1,0,0.33
", Gambia, The",,"Gambia, The",13.4432,-15.3101,1,0,0,0.00
", Georgia",,Georgia,42.3154,43.3569,43,0,1,0.00
", Germany",,Germany,51,9,19848,67,180,0.00
", Ghana",,Ghana,7.9465,-1.0232,16,0,0,0.00
", Greece",,Greece,39.0742,21.8243,495,6,19,0.01
", Guatemala",,Guatemala,15.7835,-90.2308,12,1,0,0.08
", Guinea",,Guinea,9.9456,-9.6966,1,0,0,0.00
", Guyana",,Guyana,5,-58.75,7,1,0,0.14
", Haiti",,Haiti,18.9712,-72.2852,2,0,0,0.00
", Holy See",,Holy See,41.9029,12.4534,1,0,0,0.00
", Honduras",,Honduras,15.2,-86.2419,24,0,0,0.00
", Hungary",,Hungary,47.1625,19.5033,85,3,2,0.04
", Iceland",,Iceland,64.9631,-19.0208,409,5,8,0.01
", India",,India,21,78,244,5,20,0.02
", Indonesia",,Indonesia,-0.7893,113.9213,369,32,15,0.09
", Iran",,Iran,32,53,19644,1433,6745,0.07
", Iraq",,Iraq,33,44,208,17,49,0.08
", Ireland",,Ireland,53.1424,-7.6921,683,3,5,0.00
", Israel",,Israel,31,35,705,0,14,0.00
", Italy",,Italy,43,12,47021,4032,4440,0.09
", Jamaica",,Jamaica,18.1096,-77.2975,16,1,2,0.06
", Japan",,Japan,36,138,963,33,191,0.03
", Jordan",,Jordan,31.24,36.51,85,0,1,0.00
", Kazakhstan",,Kazakhstan,48.0196,66.9237,49,3,0,0.06
", Kenya",,Kenya,-0.0236,37.9062,7,0,0,0.00
", Korea, South",,"Korea, South",36,128,8652,94,1540,0.01
", Kosovo",,Kosovo,42.6026,20.903,2,0,0,0.00
", Kuwait",,Kuwait,29.5,47.75,159,0,18,0.00
", Kyrgyzstan",,Kyrgyzstan,41.2044,74.7661,6,0,0,0.00
", Latvia",,Latvia,56.8796,24.6032,111,0,1,0.00
", Lebanon",,Lebanon,33.8547,35.8623,163,4,4,0.02
", Liberia",,Liberia,6.4281,-9.4295,2,0,0,0.00
", Liechtenstein",,Liechtenstein,47.14,9.55,28,0,0,0.00
", Lithuania",,Lithuania,55.1694,23.8813,49,0,1,0.00
", Luxembourg",,Luxembourg,49.8153,6.1296,484,4,0,0.01
", Madagascar",,Madagascar,-18.7669,46.8691,3,0,0,0.00
", Malaysia",,Malaysia,2.5,112.5,1030,3,87,0.00
", Maldives",,Maldives,3.2028,73.2207,13,0,0,0.00
", Malta",,Malta,35.9375,14.3754,64,0,2,0.00
", Martinique",,Martinique,14.6415,-61.0242,32,1,0,0.03
", Mauritania",,Mauritania,21.0079,10.9408,2,0,0,0.00
", Mauritius",,Mauritius,-20.2,57.5,12,0,0,0.00
", Mexico",,Mexico,23.6345,-102.5528,164,1,4,0.01
", Moldova",,Moldova,47.4116,28.3699,66,1,1,0.02
", Monaco",,Monaco,43.7333,7.4167,11,0,0,0.00
", Mongolia",,Mongolia,46.8625,103.8467,6,0,0,0.00
", Montenegro",,Montenegro,42.5,19.3,14,0,0,0.00
", Morocco",,Morocco,31.7917,-7.0926,77,3,1,0.04
", Namibia",,Namibia,-22.9576,18.4904,3,0,0,0.00
", Nepal",,Nepal,28.1667,84.25,1,0,1,0.00
", New Zealand",,New Zealand,-40.9006,174.886,39,0,0,0.00
", Nicaragua",,Nicaragua,12.8654,-85.2072,1,0,0,0.00
", Niger",,Niger,17.6078,8.0817,1,0,0,0.00
", Nigeria",,Nigeria,9.082,8.6753,12,0,1,0.00
", North Macedonia",,North Macedonia,41.6086,21.7453,67,0,1,0.00
", Norway",,Norway,60.472,8.4689,1914,7,1,0.00
", Oman",,Oman,21,57,48,0,12,0.00
", Pakistan",,Pakistan,30.3753,69.3451,501,3,13,0.01
", Panama",,Panama,8.538,-80.7821,137,1,0,0.01
", Papua New Guinea",,Papua New Guinea,-6.315,143.9555,1,0,0,0.00
", Paraguay",,Paraguay,-23.4425,-58.4438,13,0,0,0.00
", Peru",,Peru,-9.19,-75.0152,234,3,1,0.01
", Philippines",,Philippines,13,122,230,19,8,0.08
", Poland",,Poland,51.9194,19.1451,425,5,13,0.01
", Portugal",,Portugal,39.3999,-8.2245,1020,6,5,0.01
", Qatar",,Qatar,25.3548,51.1839,470,0,10,0.00
", Romania",,Romania,45.9432,24.9668,308,0,25,0.00
", Russia",,Russia,60,90,253,1,9,0.00
", Rwanda",,Rwanda,-1.9403,29.8739,17,0,0,0.00
", Saint Lucia",,Saint Lucia,13.9094,-60.9789,2,0,0,0.00
", Saint Vincent and the Grenadines",,Saint Vincent and the Grenadines,12.9843,-61.2872,1,0,0,0.00
", San Marino",,San Marino,43.9424,12.4578,144,14,4,0.10
", Saudi Arabia",,Saudi Arabia,24,45,344,0,8,0.00
", Senegal",,Senegal,14.4974,-14.4524,38,0,2,0.00
", Serbia",,Serbia,44.0165,21.0059,135,1,1,0.01
", Seychelles",,Seychelles,-4.6796,55.492,7,0,0,0.00
", Singapore",,Singapore,1.2833,103.8333,385,0,124,0.00
", Slovakia",,Slovakia,48.669,19.699,137,1,0,0.01
", Slovenia",,Slovenia,46.1512,14.9955,341,1,0,0.00
", Somalia",,Somalia,5.1521,46.1996,1,0,0,0.00
", South Africa",,South Africa,-30.5595,22.9375,202,0,0,0.00
", Spain",,Spain,40,-4,20410,1043,1588,0.05
", Sri Lanka",,Sri Lanka,7,81,73,0,3,0.00
", Sudan",,Sudan,12.8628,30.2176,2,1,0,0.50
", Suriname",,Suriname,3.9193,-56.0278,4,0,0,0.00
", Sweden",,Sweden,63,16,1639,16,16,0.01
", Switzerland",,Switzerland,46.8182,8.2275,5294,54,15,0.01
", Taiwan*",,Taiwan*,23.7,121,135,2,26,0.01
", Tanzania",,Tanzania,-6.369,34.8888,6,0,0,0.00
", Thailand",,Thailand,15,101,322,1,42,0.00
", Togo",,Togo,8.6195,0.8248,9,0,1,0.00
